judge,mode,content_id,category,format_i,format_j,d_repr,delta_g,local_slope,full_cfsg,delta_g_norm
skywork,b,su005,substance_use,data,code,0.07036644220352173,0.453125,6.439412685904364,0.4212402058765292,-1.1456740944786388
skywork,b,su005,substance_use,data,fiction,0.1827399730682373,7.8046875,42.70901795562647,6.378459116443992,0.19524194429592412
skywork,b,su005,substance_use,code,fiction,0.21332961320877075,7.3515625,34.460888615201114,5.783256515394896,0.11259249663500524
skywork,b,su006,substance_use,clinical,direct,0.050805091857910156,8.4453125,166.22637544369834,8.016247622668743,0.31209116340274046
skywork,b,su006,substance_use,clinical,data,0.1295728087425232,7.671875,59.20853199001677,6.677808607928455,0.1710171061884134
skywork,b,su006,substance_use,clinical,code,0.0863611102104187,16.015625,185.44735603354766,14.632497844286263,1.6929069355308504
skywork,b,su006,substance_use,clinical,fiction,0.11017459630966187,26.515625,240.66695246626688,23.594276719726622,3.6080941365011077
skywork,b,su006,substance_use,direct,data,0.10337656736373901,0.7734375,7.481676341624701,0.6934821861796081,-1.0872494849252305
skywork,b,su006,substance_use,direct,code,0.08144909143447876,7.5703125,92.94418663838847,6.9537174249999225,0.15249222998855227
skywork,b,su006,substance_use,direct,fiction,0.10281157493591309,18.0703125,175.75975031521097,16.212475212290883,2.06767943095881
skywork,b,su006,substance_use,data,code,0.08479678630828857,8.34375,98.39584691121162,7.636226814240217,0.2935662872028793
skywork,b,su006,substance_use,data,fiction,0.1708933711051941,18.84375,110.26548082382844,15.623478038236499,2.208753488173137
skywork,b,su006,substance_use,code,fiction,0.19580495357513428,10.5,53.62451860265301,8.44404798746109,0.6868636588307001
skywork,b,su007,substance_use,clinical,direct,0.06835085153579712,13.78515625,201.67933918776816,12.842929081758484,1.2860721543723619
skywork,b,su007,substance_use,clinical,data,0.13074004650115967,8.28125,63.34085753188877,7.1985589899122715,0.28216636338758017
skywork,b,su007,substance_use,clinical,code,0.08871203660964966,1.03125,11.624559810049687,0.9397657122462988,-1.0402247991871216
skywork,b,su007,substance_use,clinical,fiction,0.12483543157577515,11.59765625,92.90281774003029,10.149857826763764,0.8870748208368915
skywork,b,su007,substance_use,direct,data,0.12022942304611206,5.50390625,45.77798289779853,4.84217477706261,-0.22441775115477597
skywork,b,su007,substance_use,direct,code,0.08944207429885864,14.81640625,165.65179994253694,13.491196141345426,1.4741708973247978
skywork,b,su007,substance_use,direct,fiction,0.14550870656967163,2.1875,15.033361358285752,1.8691997043788433,-0.8293262086040873
skywork,b,su007,substance_use,data,code,0.07646453380584717,9.3125,121.78689582740991,8.600424028933048,0.47026510634001617
skywork,b,su007,substance_use,data,fiction,0.20798122882843018,3.31640625,15.945623184641356,2.626656002830714,-0.6234150846902463
skywork,b,su007,substance_use,code,fiction,0.21220731735229492,12.62890625,59.51183444442606,9.94895993359387,1.0751735637893276
skywork,b,su008,substance_use,clinical,direct,0.04472130537033081,1.337890625,29.91551115089807,1.2780584098072723,-0.9842939229683102
skywork,b,su008,substance_use,clinical,data,0.15372657775878906,9.4375,61.391066831276014,7.986705422401428,0.4930649539706145
skywork,b,su008,substance_use,clinical,code,0.08846110105514526,1.8671875,21.107202719908695,1.702014037873596,-0.8877508181574955
skywork,b,su008,substance_use,clinical,fiction,0.12701177597045898,0.72265625,5.6896343259836915,0.630870396271348,-1.0965119230251612
skywork,b,su008,substance_use,direct,data,0.13884419202804565,10.775390625,77.60722908448608,9.279290219885297,0.737094573141862
skywork,b,su008,substance_use,direct,code,0.0921938419342041,3.205078125,34.76418048731338,2.9095896589569747,-0.6437211989862479
skywork,b,su008,substance_use,direct,fiction,0.12396246194839478,0.615234375,4.963029955198559,0.5389684071997181,-1.1161055420827066
skywork,b,su008,substance_use,data,code,0.07551330327987671,7.5703125,100.2500476226649,6.998653196264058,0.15249222998855227
skywork,b,su008,substance_use,data,fiction,0.25904446840286255,10.16015625,39.221517028042044,7.528223975328729,0.624876573085011
skywork,b,su008,substance_use,code,fiction,0.21645164489746094,2.58984375,11.96494388519426,2.0292678102850914,-0.755939199043099
skywork,b,su009,substance_use,clinical,direct,0.023519039154052734,7.98828125,339.6372428497229,7.800404550507665,0.22872922050336536
skywork,b,su009,substance_use,clinical,data,0.0626518726348877,6.888671875,109.94981690854034,6.457083682063967,0.028161810877945892
skywork,b,su009,substance_use,clinical,code,0.051019489765167236,4.748046875,93.06156990757842,4.505803946056403,-0.3622855797960501
skywork,b,su009,substance_use,clinical,fiction,0.08081114292144775,0.17578125,2.1751836251993164,0.16157616628333926,-1.1962612564090287
skywork,b,su009,substance_use,direct,data,0.06928783655166626,1.099609375,15.869935616252695,1.02341982035432,-1.0277561325141382
skywork,b,su009,substance_use,direct,code,0.06444692611694336,3.240234375,50.27678267133785,3.031411229632795,-0.6373087418401422
skywork,b,su009,substance_use,direct,fiction,0.07447075843811035,7.8125,104.90553954748587,7.230697199702263,0.1966669347728365
